mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.16854391098022461,0.008540644181115558,0.013704252243041993,0.0013081001147974365,5,0.2,3,4,53,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 53}",0.9642857142857143,0.7857142857142858,0.8520408163265305,0.8724489795918366,0.8571428571428571,0.8663265306122447,0.05730661666162844,1315
0.16890578269958495,0.006259057746357679,0.014389610290527344,0.0012101028740494945,5,0.2,3,4,55,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 55}",0.9693877551020409,0.7857142857142858,0.8622448979591836,0.8877551020408163,0.8571428571428571,0.8724489795918366,0.05914847651505893,823
0.18677892684936523,0.01087548441269699,0.013591194152832031,0.001712576420507087,5,0.2,3,4,57,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 57}",0.9744897959183674,0.7959183673469388,0.8571428571428571,0.8979591836734693,0.8516483516483516,0.8754317111459967,0.059232581218609366,628
0.18886241912841797,0.007746551380644321,0.016782617568969725,0.001703763418988563,5,0.2,3,4,60,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 60}",0.9591836734693877,0.7806122448979592,0.8724489795918366,0.9132653061224489,0.8736263736263736,0.8798273155416012,0.058910190158400114,365
0.09798908233642578,0.0058535276606510485,0.010763835906982423,0.0012822407900423968,5,0.2,3,5,30,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 30}",0.9387755102040816,0.7959183673469388,0.8367346938775511,0.8979591836734693,0.8516483516483516,0.8642072213500784,0.04954887933802235,1527
0.10305066108703613,0.004813035465290153,0.011486625671386719,0.0018482160801920101,5,0.2,3,5,32,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 32}",0.9387755102040817,0.7908163265306123,0.8469387755102041,0.8979591836734693,0.8516483516483517,0.865227629513344,0.05007307933711872,1438
0.1226954460144043,0.015539619671606102,0.016318559646606445,0.00932009332927689,5,0.2,3,5,34,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 34}",0.9489795918367346,0.8010204081632653,0.8367346938775511,0.8877551020408163,0.8406593406593407,0.8630298273155415,0.05106024287221621,1656
0.14408435821533203,0.01993114771927088,0.016343307495117188,0.007249123730442193,5,0.2,3,5,36,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 36}",0.9540816326530612,0.7857142857142857,0.846938775510204,0.8928571428571428,0.8516483516483517,0.8662480376766091,0.055667707924181374,1319
0.12300748825073242,0.006017735003083247,0.011970424652099609,0.0007086653292243786,5,0.2,3,5,38,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 38}",0.9591836734693877,0.7857142857142857,0.8520408163265306,0.8826530612244897,0.8791208791208791,0.8717425431711145,0.05587208540073876,876
0.13420329093933106,0.016806165384647968,0.012933111190795899,0.002157344651675211,5,0.2,3,5,40,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 40}",0.9591836734693877,0.8010204081632653,0.8571428571428572,0.8673469387755102,0.8901098901098901,0.8749607535321822,0.051313972486961734,660
0.15630640983581542,0.018245344155335082,0.0160736083984375,0.007936056832875316,5,0.2,3,5,42,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 42}",0.9540816326530612,0.8163265306122449,0.8622448979591837,0.8826530612244897,0.8626373626373626,0.8755886970172684,0.044875036688377994,613
0.15012564659118652,0.01512618646498061,0.012595367431640626,0.0014064349399005361,5,0.2,3,5,45,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 45}",0.9540816326530612,0.7959183673469388,0.8724489795918366,0.8673469387755102,0.8736263736263736,0.872684458398744,0.05009583711697946,813
0.16360015869140626,0.012062602372903564,0.013172674179077148,0.0007355939266650725,5,0.2,3,5,47,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 47}",0.9438775510204082,0.8010204081632654,0.8520408163265305,0.8775510204081632,0.8736263736263736,0.8696232339089482,0.04606097620415497,1029
0.16003403663635254,0.004856908238387306,0.013401126861572266,0.0008561266865893818,5,0.2,3,5,49,"{'max_depth': 5, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 49}",0.9540816326530612,0.8010204081632654,0.8571428571428571,0.8775510204081632,0.8736263736263736,0.8726844583987441,0.04904558710511158,806
